,estimator,mode,n_estimators,learning_rate,min_samples_split,min_samples_leaf,max_depth,max_features,subsample,random_state,criterion,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,resp_0,resp_1,resp_2,resp_3,resp_4,resp_5,resp_6,resp_7,resp_8,resp_9,lift_0,lift_1,lift_2,lift_3,lift_4,lift_5,lift_6,lift_7,lift_8,lift_9,max_ks_score,max_ks,c_stat
0,GradientBoostingClassifier,medium,80,0.2,500,250,7,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.001513311997748343,0.0033347476810745118,0.005707763435094807,0.00944472444898193,0.01599837029412839,0.028533633571898,0.05436940250118258,0.11447529149525344,0.280170118866198,0.619168984697664,0.013358014152927146,0.029435837941226742,0.050382462348147986,0.08336863980971224,0.1412177113052101,0.25186655604063657,0.4799190445708503,1.0104740900946383,2.4730633330142395,5.465408371142998,0.10185776667236056,0.7045242979612646,0.9247481704102353
0,GradientBoostingClassifier,medium,80,0.2,500,250,8,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0017126325153962005,0.0034656659095645167,0.005889086634422032,0.00967388735642528,0.015893343827435603,0.027335746955730406,0.05169509827908217,0.11097946022543988,0.2751401310367292,0.6295420103737406,0.015135893542621435,0.030628841733350863,0.05204653512097181,0.08549582461727993,0.1404621003313683,0.24158770320570272,0.4568706346478117,0.9808136189690694,2.4316318271648782,5.563762665933299,0.10346808137071811,0.7182971156339011,0.9265969543376851
0,GradientBoostingClassifier,medium,80,0.3,50,25,3,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.003593411697455,0.0069685586147277346,0.010146529621896442,0.014337298907754953,0.02177548343311648,0.03558490868776658,0.0574045828458421,0.10710531144578836,0.2580679591045236,0.6253401120008663,0.03150721339163305,0.06110067027995449,0.08896527893200594,0.125710153519619,0.19092852725978607,0.31201025820150374,0.5033262519467475,0.9391047247633199,2.2627527657930657,5.483013361678895,0.10308829101687321,0.7093418696789214,0.9224996802785361
0,GradientBoostingClassifier,medium,80,0.3,50,25,4,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0023073740075055483,0.004548323189731699,0.007018728086845041,0.010562493957547412,0.01635724103900315,0.02754608391778114,0.04903810895087221,0.10231106282857529,0.2676837847491549,0.6403357415594252,0.020457363763822227,0.04032579967751321,0.06222860843750741,0.09364792202731012,0.14502461630360733,0.2442257983065483,0.4347758230068939,0.9070981221679566,2.3733059922133073,5.677268251027796,0.08687288052624269,0.7065618154263215,0.9206642724531466
0,GradientBoostingClassifier,medium,80,0.3,50,25,5,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0019849316006437115,0.0038149081641715883,0.005980142368699561,0.009067125567791675,0.014194447342462769,0.023814275332218686,0.04269048237879762,0.09208488431869327,0.2690382065605351,0.6686441984657933,0.01754228523426295,0.03371512002565409,0.052850870598869934,0.08013278790740072,0.12544666221418216,0.21046408369415556,0.3772868639071897,0.8138211442443452,2.3776864436381167,5.909295436637811,0.07195455446713075,0.7211271943332307,0.9279386969980112
0,GradientBoostingClassifier,medium,80,0.3,50,25,6,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0012721527422126307,0.002779748530437127,0.004459331895198381,0.006898452693603327,0.011407643618375376,0.02036477435276678,0.039843726694131845,0.09563533947906555,0.2676772749420605,0.6790906717055012,0.011261655335501457,0.024607556019336303,0.039475966339534777,0.06106813592878877,0.100985476317044,0.1802779352951209,0.35271418472187976,0.8466060680997198,2.369596913575569,6.011609166521982,0.08182972707477586,0.7092511731820246,0.9256247400903745
0,GradientBoostingClassifier,medium,80,0.3,50,25,7,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0006504983887254692,0.0016979032114049402,0.003060519608092677,0.005297836199453638,0.009391985747663424,0.017666992028641245,0.03544541592711626,0.08631807729984863,0.25738275452581694,0.67617804709359,0.005949879707274841,0.015530122806681592,0.027993495180804275,0.04845744223495429,0.0859051865147982,0.16159375516018593,0.3242067383961964,0.7895210586203285,2.3541894256742846,6.1847625000110344,0.08198913806619611,0.7195011823169236,0.924799608591329
0,GradientBoostingClassifier,medium,80,0.3,50,25,8,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.0004958017110212312,0.0013241857425099852,0.0024334439503504394,0.004196066542851794,0.007403895853655215,0.01411544507387395,0.03003196014836397,0.0784310639947797,0.2522131432494757,0.6850275774648199,0.004608310819889173,0.012307862899832617,0.022618046361509176,0.03900103291408537,0.06881673179677844,0.13119833355859306,0.2791370094490451,0.728990466931015,2.3442366799437,6.367101861450449,0.09537803911349631,0.7121615084937161,0.9245447014106024
0,GradientBoostingClassifier,medium,80,0.3,50,50,3,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.003334532349196453,0.006687480068637251,0.009922627447230754,0.01451887204589544,0.022550428482501435,0.037047732631581586,0.06012966990122968,0.10730789145343815,0.25721601389458004,0.6230681938152203,0.02919998859960386,0.058561237773369475,0.0868909274210746,0.12713953676935136,0.1974706452507204,0.32442131525400913,0.5265463014737148,0.9396787552062581,2.2524012025755864,5.4561126571659875,0.1260589962889228,0.7055645889556461,0.9186376842422123
0,GradientBoostingClassifier,medium,80,0.3,50,50,4,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.002415031826882948,0.004831421648557427,0.007670577330060163,0.011860829226383868,0.01828811399791375,0.029316283162500432,0.05097996831275931,0.10348442782310753,0.2590375358795381,0.641447975990432,0.021381042606814706,0.042774107972159685,0.06791005356006528,0.10500768239099398,0.16191047266336098,0.2595463514780613,0.4513418259982214,0.9161804560081036,2.2933414498943314,5.678942344378144,0.10784651800786621,0.7026912282350157,0.9225373617367791
0,GradientBoostingClassifier,medium,80,0.3,50,50,5,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.001719781272102805,0.0036702994258568265,0.006156001113261572,0.009787644832561084,0.015473361843026215,0.025565791597857934,0.045421262116138214,0.09598278366221996,0.269714948099453,0.6530701861096143,0.01526315741760526,0.03257411789238868,0.054634862920549275,0.08686590920037665,0.13732697373829633,0.2268978666029277,0.40311630614354393,0.8518527095164453,2.3937356322584122,5.796035354628485,0.09661686924336753,0.7194998773313568,0.926941035532147
